id,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,availability_90,instant_bookable,cancellation_policy,host_active,phone,email,id_verification,review,photo,socials,others,air_con,wifi,washer,essentials,kitchen,hangers,iron,tv,hair_dryer,shampoo,laptop_workspace,elevator,dryer,hot_water,bedroom_lock,pool,refrigerator,long_term_stays,gym,microwave,bedrooms_per_accommodates
28944791,0,1,0,River Valley,Central Region,1.2949700000000002,103.83906,1,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,4.653960350157523,0.0,0.0,1,0.0,1,0,1,strict_14_with_grace_period,2298.0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.5
28948302,0,6,0,River Valley,Central Region,1.29749,103.83474,1,Apartment,Private room,11,3.0,4.0,5.0,Real Bed,5.986452005284438,300.0,120.0,8,39.0,2,79,1,strict_14_with_grace_period,1333.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0.36363636363636365
28950843,1,5,0,Novena,Central Region,1.32159,103.85338,0,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,4.07753744390572,0.0,20.0,1,10.0,15,57,1,flexible,2442.0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0.5
28958329,0,15,1,Geylang,Central Region,1.31425,103.88727,0,Apartment,Private room,6,1.0,1.0,3.0,Real Bed,4.634728988229636,0.0,0.0,3,7.0,2,37,1,strict_14_with_grace_period,1252.0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0.16666666666666666
28966874,1,2,0,Choa Chu Kang,West Region,1.3873,103.74486,1,Condominium,Private room,1,1.0,1.0,1.0,Real Bed,3.9512437185814275,0.0,0.0,1,0.0,90,28,0,strict_14_with_grace_period,1392.0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1.0
28967232,0,1,0,Central Water Catchment,North Region,1.35279,103.81906,0,Apartment,Private room,3,1.0,1.0,3.0,Real Bed,3.912023005428146,0.0,0.0,1,0.0,1,90,0,flexible,650.0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0.3333333333333333
28970364,0,7,0,Sembawang,North Region,1.4370100000000001,103.82571,1,House,Private room,3,1.0,1.0,1.0,Real Bed,4.48863636973214,0.0,20.0,2,30.0,1,67,1,moderate,1721.0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0.3333333333333333
28975564,0,15,1,Geylang,Central Region,1.3148799999999998,103.88588,0,Apartment,Private room,5,2.0,1.0,2.0,Real Bed,4.406719247264253,0.0,0.0,3,7.0,2,43,1,strict_14_with_grace_period,1252.0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0.2
28977161,0,1,0,Ang Mo Kio,North-East Region,1.3852,103.83915999999999,0,Condominium,Entire home/apt,2,1.0,1.0,2.0,Real Bed,5.298317366548036,0.0,0.0,1,0.0,3,0,0,flexible,1130.0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0.5
28983113,0,15,1,Geylang,Central Region,1.31608,103.88731999999999,0,Apartment,Private room,5,2.0,1.0,2.0,Real Bed,4.406719247264253,0.0,0.0,3,7.0,2,45,1,strict_14_with_grace_period,1252.0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0.2
28983781,0,15,1,Geylang,Central Region,1.3146200000000001,103.88665999999999,0,Apartment,Private room,4,2.0,1.0,2.0,Real Bed,4.290459441148391,0.0,0.0,2,7.0,2,54,1,strict_14_with_grace_period,1252.0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0.25
28989951,0,8,0,Bukit Timah,Central Region,1.3126,103.79621999999999,1,Hostel,Hotel room,1,1.0,1.0,1.0,Real Bed,3.713572066704308,500.0,20.0,1,32.0,7,90,1,moderate,513.0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1.0
28994716,0,1,0,Punggol,North-East Region,1.3975899999999999,103.91301999999999,1,Condominium,Private room,2,2.0,1.0,1.0,Real Bed,4.0943445622221,150.0,0.0,1,15.0,5,90,0,flexible,512.0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0.5
28996484,0,147,0,Kallang,Central Region,1.3148600000000001,103.85239,1,Condominium,Entire home/apt,4,1.0,2.0,0.0,Real Bed,5.123963979403259,300.0,35.0,3,25.0,14,89,1,strict_14_with_grace_period,1809.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5
28998072,1,8,0,Rochor,Central Region,1.30125,103.86032,0,Boutique hotel,Private room,1,0.0,1.0,1.0,Real Bed,4.31748811353631,0.0,0.0,1,0.0,1,90,1,moderate,563.0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1.0
28998095,1,8,0,Rochor,Central Region,1.3018,103.85977,0,Boutique hotel,Private room,2,0.0,1.0,1.0,Real Bed,4.61512051684126,0.0,0.0,2,0.0,1,90,1,moderate,563.0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.5
28998145,1,8,0,Rochor,Central Region,1.3019,103.8595,0,Boutique hotel,Shared room,1,0.0,1.0,1.0,Real Bed,3.713572066704308,0.0,0.0,1,0.0,1,88,1,moderate,563.0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0
28998161,1,8,0,Rochor,Central Region,1.30189,103.86171,0,Boutique hotel,Shared room,1,0.0,1.0,1.0,Real Bed,3.713572066704308,0.0,0.0,1,0.0,1,90,1,moderate,563.0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0
28998181,1,8,0,Rochor,Central Region,1.30169,103.86007,0,Boutique hotel,Shared room,1,0.0,1.0,1.0,Real Bed,3.713572066704308,0.0,0.0,1,0.0,1,87,1,moderate,563.0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0
28998191,1,8,0,Rochor,Central Region,1.30149,103.85988,0,Boutique hotel,Shared room,1,0.0,1.0,1.0,Real Bed,3.713572066704308,0.0,0.0,1,0.0,1,90,1,moderate,563.0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0
28999077,1,2,0,Newton,Central Region,1.30629,103.84725999999999,0,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,4.0943445622221,0.0,0.0,2,30.0,5,41,1,strict_14_with_grace_period,696.0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0.5
29004038,0,3,0,Downtown Core,Central Region,1.27657,103.84676999999999,0,Apartment,Entire home/apt,4,2.0,2.0,3.0,Real Bed,5.521460917862246,400.0,50.0,4,80.0,2,49,1,strict_14_with_grace_period,948.0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0.5
29015280,0,147,0,Novena,Central Region,1.3261399999999999,103.84958,1,Condominium,Entire home/apt,4,1.0,2.0,1.0,Real Bed,5.123963979403259,300.0,35.0,3,25.0,20,90,0,strict_14_with_grace_period,1809.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.5
29015768,0,7,0,Geylang,Central Region,1.31534,103.89967,1,House,Private room,3,2.0,1.0,1.0,Real Bed,3.6375861597263857,150.0,29.0,1,9.0,2,39,1,moderate,681.0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0.3333333333333333
29020376,1,5,0,Outram,Central Region,1.28109,103.84631,1,Boutique hotel,Hotel room,2,1.0,1.0,1.0,Real Bed,5.298317366548036,0.0,0.0,1,0.0,3,90,1,moderate,511.0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0.5
29039113,1,399,0,Downtown Core,Central Region,1.27548,103.84428,1,Condominium,Entire home/apt,2,1.0,1.0,1.0,Real Bed,5.736572297479192,0.0,50.0,2,30.0,30,0,1,strict_14_with_grace_period,1419.0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5
